2026-07-01 07:44:11 | 1-eshik | 30 Z 464 JA | 0.86
2026-07-01 09:41:54 | 1-eshik | 30 Z 464 JA | 0.90
2026-07-01 09:49:33 | 1-eshik | 30 Z 464 JA | 0.93
2026-07-01 09:49:55 | 1-eshik | 30 Z 464 JA | 0.87
2026-07-01 10:09:36 | 1-eshik | 30 Z 464 JA | 0.87
2026-07-01 10:11:41 | 1-eshik | 30 Z 464 JA | 0.90
2026-07-01 10:15:35 | 1-eshik | 30 Z 464 JA | 0.91
2026-07-01 10:19:40 | 1-eshik | 30 Z 464 JA | 0.92
2026-07-01 10:21:43 | 1-eshik | 30 Z 464 JA | 0.84
2026-07-01 10:28:56 | 1-eshik | 30 Z 464 JA | 0.89
2026-07-01 10:39:24 | 1-eshik | 30 Z 464 JA | 0.91
2026-07-01 10:41:54 | 1-eshik | 30 Z 464 JA | 0.89
2026-07-01 10:55:44 | 1-eshik | 30 Z 464 JA | 0.87
2026-07-01 12:26:29 | 1-eshik | 30 Z 464 JA | 0.84
2026-07-01 12:27:37 | 1-eshik | 30 Z 464 JA | 0.84
2026-07-01 12:40:55 | 1-eshik | 30 Z 464 JA | 0.87
